mclust_cluster,macro_genre,n_chapters,pct_cluster
1,Modern_Revelation,77,0.3392070484581498
1,BOM,67,0.29515418502202645
1,Prophetic,38,0.16740088105726872
1,Early_LDS_Writing,35,0.15418502202643172
1,Narrative,10,0.04405286343612335
2,BOM,107,0.8629032258064516
2,Early_LDS_Writing,11,0.08870967741935484
2,Narrative,4,0.03225806451612903
2,Prophetic,2,0.016129032258064516
3,Modern_Revelation,60,0.43795620437956206
3,Early_LDS_Writing,27,0.19708029197080293
3,Poetic_Wisdom,27,0.19708029197080293
3,BOM,15,0.10948905109489052
3,Prophetic,8,0.058394160583941604
4,Poetic_Wisdom,186,0.9538461538461539
4,Prophetic,7,0.035897435897435895
4,BOM,1,0.005128205128205128
4,Narrative,1,0.005128205128205128
5,Prophetic,119,0.6102564102564103
5,Modern_Revelation,37,0.18974358974358974
5,BOM,28,0.14358974358974358
5,Poetic_Wisdom,5,0.02564102564102564
5,Narrative,4,0.020512820512820513
5,Early_LDS_Writing,2,0.010256410256410256
6,Narrative,83,0.6693548387096774
6,BOM,21,0.1693548387096774
6,Prophetic,15,0.12096774193548387
6,Poetic_Wisdom,5,0.04032258064516129
